Node,Initial Risk Probability,Best Risk Probability,Rescue Ratio
0,0.8465805053710938,0.7482379674911499,0.0
1,0.9303340315818787,0.8620038032531738,0.015530642122030258
2,0.28445708751678467,0.23688460886478424,0.010188229382038116
3,0.04268277436494827,0.03753741458058357,0.005084845703095198
4,0.030665148049592972,0.029788518324494362,0.0
5,0.04562630131840706,0.03044150024652481,0.010045652277767658
6,0.6782374978065491,0.5697622895240784,0.0
7,0.02867889776825905,0.021366413682699203,0.005072098691016436
8,0.04171221703290939,0.03986747935414314,0.0
9,0.2596890926361084,0.22495730221271515,0.005094231106340885
10,0.012984244152903557,0.012984244152903557,0.0
11,0.9708767533302307,0.9315059781074524,0.00527365505695343
12,0.01707872934639454,0.01356516033411026,0.01021619327366352
13,0.8359851837158203,0.8288675546646118,0.004961910657584667
14,0.020034486427903175,0.01408233679831028,0.005228996742516756
15,0.01706373505294323,0.011658651754260063,0.010515827685594559
16,0.3041825294494629,0.2570034861564636,0.0
17,0.6241410374641418,0.5170512199401855,0.0
18,0.2637767195701599,0.2173091173171997,0.010195484384894371
19,0.9678826332092285,0.9258063435554504,0.010397057980298996
20,0.5427462458610535,0.4337267577648163,0.010279650799930096
21,0.762134850025177,0.7459558844566345,0.005001786630600691
22,0.04268277436494827,0.04122225195169449,0.0
23,0.8378372192382812,0.7392371296882629,0.0
24,0.14250940084457397,0.12009593844413757,0.010217960923910141
25,0.3940148949623108,0.3302724063396454,0.005083607509732246
26,0.01774679310619831,0.01774471439421177,0.0
27,0.04245241731405258,0.04061339795589447,0.0
28,0.028753669932484627,0.020937498658895493,0.015311473049223423
29,0.02062031254172325,0.016029441729187965,0.010205121710896492
30,0.25852492451667786,0.21399331092834473,0.0
31,0.2844570577144623,0.23753772675991058,0.005113014951348305
32,0.027354968711733818,0.02220815420150757,0.005230576265603304
33,0.032437995076179504,0.027345841750502586,0.005223270505666733
34,0.036213554441928864,0.025913415476679802,0.010452788323163986
35,0.7184268236160278,0.6077507734298706,0.0
36,0.024584421887993813,0.020477255806326866,0.005247342400252819
37,0.5287196040153503,0.4350101351737976,0.0051503730937838554
38,0.024925729259848595,0.017053764313459396,0.015085972845554352
39,0.01871464215219021,0.018492650240659714,0.0
40,0.010120298713445663,0.009090305306017399,0.005252589471638203
41,0.017402997240424156,0.017402997240424156,0.0
42,0.02095453254878521,0.02095453254878521,0.0
43,0.016009800136089325,0.01332977507263422,0.0105095524340868
44,0.024318024516105652,0.024318024516105652,0.0
45,0.7872318029403687,0.7499042749404907,0.00505179213359952
46,0.016009800136089325,0.014266789890825748,0.005251050926744938
47,0.021567493677139282,0.021567493677139282,0.0
48,0.04103642329573631,0.04103642329573631,0.0
49,0.15897946059703827,0.1341877579689026,0.0
50,0.021022753790020943,0.020747261121869087,0.0
51,0.01882053166627884,0.013777360320091248,0.005259258672595024
52,0.3754177391529083,0.3145550489425659,0.010213624686002731
53,0.020249467343091965,0.016527704894542694,0.005073060281574726
54,0.018486788496375084,0.011177831329405308,0.010486358776688576
55,0.8710010051727295,0.7790898680686951,0.0
56,0.7645930051803589,0.6548539400100708,0.005192440468817949
57,0.03823811560869217,0.03469175845384598,0.015007415786385536
58,0.9946407079696655,0.9822875261306763,0.0
59,0.6249638199806213,0.5197519659996033,0.005166966002434492
60,0.8775443434715271,0.7883259654045105,0.005217353813350201
61,0.4569462537765503,0.3802220821380615,0.0
62,0.27865514159202576,0.2282480001449585,0.01019351091235876
63,0.27692458033561707,0.23012055456638336,0.0
64,0.03274475038051605,0.031803518533706665,0.0
65,0.7122171521186829,0.6020925045013428,0.015519504435360432
66,0.02168433740735054,0.014932937920093536,0.015366984531283379
0,0.8465805053710938,0.8201451897621155,0.01634345017373562
1,0.9303340315818787,0.9133917093276978,0.0
2,0.28445708751678467,0.2746514678001404,0.0
3,0.04268277436494827,0.037912432104349136,0.006078713573515415
4,0.030665148049592972,0.02157607488334179,0.006039305590093136
5,0.04562630131840706,0.04503343254327774,0.0
6,0.6782374978065491,0.6474906802177429,0.007577419746667147
7,0.02867889776825905,0.028675107285380363,0.0
8,0.04171221703290939,0.04115097224712372,0.0
9,0.2596890926361084,0.24943257868289948,0.0
10,0.012984244152903557,0.012984244152903557,0.0
11,0.9708767533302307,0.96186763048172,0.008906573057174683
12,0.01707872934639454,0.017075136303901672,0.0
13,0.8359851837158203,0.8264444470405579,0.00696518225595355
14,0.020034486427903175,0.020034486427903175,0.0
15,0.01706373505294323,0.01706373505294323,0.0
16,0.3041825294494629,0.29144197702407837,0.006599453743547201
17,0.6241410374641418,0.5927056074142456,0.015022587962448597
18,0.2637767195701599,0.25489872694015503,0.0
19,0.9678826332092285,0.9581730961799622,0.01773485541343689
20,0.5427462458610535,0.5061377286911011,0.0
21,0.762134850025177,0.7461380958557129,0.006874381098896265
22,0.04268277436494827,0.04224032536149025,0.0
23,0.8378372192382812,0.8110326528549194,0.01617652177810669
24,0.14250940084457397,0.134836807847023,0.012555777095258236
25,0.3940148949623108,0.3743246793746948,0.0067679970525205135
26,0.01774679310619831,0.01775156706571579,0.0
27,0.04245241731405258,0.03380468115210533,0.01226870995014906
28,0.028753669932484627,0.0287481639534235,0.0
29,0.02062031254172325,0.015540380962193012,0.012520534917712212
30,0.25852492451667786,0.24601002037525177,0.013096161186695099
31,0.2844570577144623,0.2733239233493805,0.013072414323687553
32,0.027354968711733818,0.021422062069177628,0.006382059305906296
33,0.032437995076179504,0.026559220626950264,0.006353495642542839
34,0.036213554441928864,0.036213554441928864,0.0
35,0.7184268236160278,0.6877956390380859,0.0
36,0.024584421887993813,0.018134362995624542,0.013003060594201088
37,0.5287196040153503,0.5009767413139343,0.02164372429251671
38,0.024925729259848595,0.01681429147720337,0.018603209406137466
39,0.01871464215219021,0.018701182678341866,0.0
40,0.010120298713445663,0.008872294798493385,0.006732933223247528
41,0.017402997240424156,0.012333136983215809,0.0064862691797316074
42,0.02095453254878521,0.014117256738245487,0.006340807303786278
43,0.016009800136089325,0.016009800136089325,0.0
44,0.024318024516105652,0.024318024516105652,0.0
45,0.7872318029403687,0.7107778191566467,0.014602618291974068
46,0.016009800136089325,0.013936202973127365,0.006592525634914637
47,0.021567493677139282,0.014682192355394363,0.006474575959146023
48,0.04103642329573631,0.04103642329573631,0.0
49,0.15897946059703827,0.15361559391021729,0.0
50,0.021022753790020943,0.01369193010032177,0.012274229899048805
51,0.01882053166627884,0.01882053166627884,0.0
52,0.3754177391529083,0.35864976048469543,0.013631708920001984
53,0.020249467343091965,0.013159014284610748,0.025301417335867882
54,0.018486788496375084,0.0126574682071805,0.006510655861347914
55,0.8710010051727295,0.8467417359352112,0.008247210644185543
56,0.7645930051803589,0.7337173223495483,0.007888524793088436
57,0.03823811560869217,0.034967053681612015,0.01223159208893776
58,0.9946407079696655,0.9918814301490784,0.009425065480172634
59,0.6249638199806213,0.5952385067939758,0.007447456941008568
60,0.8775443434715271,0.8541346192359924,0.008273742161691189
61,0.4569462537765503,0.4345094859600067,0.006965050008147955
62,0.27865514159202576,0.26756998896598816,0.0
63,0.27692458033561707,0.2603949308395386,0.01988573744893074
64,0.03274475038051605,0.03245549276471138,0.0
65,0.7122171521186829,0.6814472079277039,0.007696530781686306
66,0.02168433740735054,0.014464741572737694,0.018922191113233566
0,0.8465805053710938,0.690746545791626,0.0
1,0.9303340315818787,0.8123774528503418,0.009911718778312206
2,0.28445708751678467,0.21754808723926544,0.0
3,0.04268277436494827,0.035669125616550446,0.007355481386184692
4,0.030665148049592972,0.029330648481845856,0.0
5,0.04562630131840706,0.027340097352862358,0.014686433598399162
6,0.6782374978065491,0.5163019895553589,0.0
7,0.02867889776825905,0.028669197112321854,0.0
8,0.04171221703290939,0.03892621770501137,0.0
9,0.2596890926361084,0.20863077044487,0.007943706586956978
10,0.012984244152903557,0.012984244152903557,0.0
11,0.9708767533302307,0.8982465863227844,0.009958571754395962
12,0.01707872934639454,0.017070628702640533,0.0
13,0.8359851837158203,0.8240780234336853,0.009078959934413433
14,0.020034486427903175,0.020034486427903175,0.0
15,0.01706373505294323,0.012164886109530926,0.008081530220806599
16,0.3041825294494629,0.22908218204975128,0.024775799363851547
17,0.6241410374641418,0.4661787152290344,0.028123928233981133
18,0.2637767195701599,0.20058657228946686,0.0
19,0.9678826332092285,0.8908075094223022,0.009937619790434837
20,0.5427462458610535,0.389269083738327,0.009466168470680714
21,0.762134850025177,0.7365432977676392,0.008879976347088814
22,0.04268277436494827,0.032840289175510406,0.022283310070633888
23,0.8378372192382812,0.682023286819458,0.009701392613351345
24,0.14250940084457397,0.11413473635911942,0.0
25,0.3940148949623108,0.3018595278263092,0.025718629360198975
26,0.01774679310619831,0.011443081311881542,0.031447719782590866
27,0.04245241731405258,0.03128453716635704,0.014925209805369377
28,0.028753669932484627,0.02086617611348629,0.014968973584473133
29,0.02062031254172325,0.015065599232912064,0.015423105098307133
30,0.25852492451667786,0.19138476252555847,0.008273658342659473
31,0.2844570577144623,0.21754808723926544,0.0
32,0.027354968711733818,0.0205798652023077,0.007765037938952446
33,0.032437995076179504,0.025704938918352127,0.007718214299529791
34,0.036213554441928864,0.036213554441928864,0.0
35,0.7184268236160278,0.5507129430770874,0.019073383882641792
36,0.024584421887993813,0.017622902989387512,0.015928193926811218
37,0.5287196040153503,0.39485612511634827,0.0
38,0.024925729259848595,0.016685182228684425,0.015169341117143631
39,0.01871464215219021,0.01241132989525795,0.015451256185770035
40,0.010120298713445663,0.010120298713445663,0.0
41,0.017402997240424156,0.017402997240424156,0.0
42,0.02095453254878521,0.02095453254878521,0.0
43,0.016009800136089325,0.01359959039837122,0.008116872981190681
44,0.024318024516105652,0.013613137416541576,0.023261969909071922
45,0.7872318029403687,0.7016924023628235,0.018508130684494972
46,0.016009800136089325,0.016009800136089325,0.0
47,0.021567493677139282,0.021567493677139282,0.0
48,0.04103642329573631,0.031577546149492264,0.01583370566368103
49,0.15897946059703827,0.11223512142896652,0.015682563185691833
50,0.021022753790020943,0.020678671076893806,0.0
51,0.01882053166627884,0.010121798142790794,0.016373559832572937
52,0.3754177391529083,0.28202593326568604,0.008536486886441708
53,0.020249467343091965,0.01989021711051464,0.0
54,0.018486788496375084,0.018486788496375084,0.0
55,0.8710010051727295,0.7232717275619507,0.0
