External_Assets,Lent_Funds,Borrowed_Funds,LMI,First_Order_Neighbor_Default_Rate,Loan_Count_Number_of_Creditors,In_Degree_Centrality,Out_Degree_Centrality,Closeness_Centrality,Betweenness_Centrality,PageRank,Average_Indegree_of_In_Neighbors,Basic_Default,y
1.0,1.0,1.0,0.6753623188405797,0.8318840579710145,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0,1
0.9971014492753624,0.9797101449275363,0.9942028985507246,0.2753623188405797,0.463768115942029,0.9797101449275363,0.9797101449275363,0.9942028985507246,0.9942028985507246,0.9884057971014493,0.9797101449275363,0.1536231884057971,1,1
0.9884057971014493,0.9971014492753624,0.9971014492753624,0.6405797101449275,0.8434782608695652,0.9971014492753624,0.9971014492753624,0.9971014492753624,0.9971014492753624,1.0,0.9971014492753624,0.13623188405797101,1,1
0.991304347826087,0.9855072463768116,0.9884057971014493,0.5304347826086957,0.8289855072463768,0.9884057971014493,0.9884057971014493,0.9884057971014493,0.9884057971014493,0.9855072463768116,0.9884057971014493,0.14782608695652175,0,1
0.9855072463768116,0.9884057971014493,0.9797101449275363,0.5507246376811594,0.8405797101449275,0.9884057971014493,0.9884057971014493,0.9797101449275363,0.9797101449275363,0.9826086956521739,0.9855072463768116,0.14782608695652175,0,1
0.9768115942028985,0.9942028985507246,0.9855072463768116,0.7855072463768116,0.881159420289855,0.9942028985507246,0.9942028985507246,0.991304347826087,0.991304347826087,0.9942028985507246,0.9942028985507246,0.1391304347826087,0,1
0.9623188405797102,0.991304347826087,0.9826086956521739,0.7565217391304347,0.8782608695652174,0.991304347826087,0.991304347826087,0.9826086956521739,0.9826086956521739,0.991304347826087,0.991304347826087,0.14202898550724638,1,1
0.9942028985507246,0.9391304347826087,0.991304347826087,0.2608695652173913,0.3681159420289855,0.9391304347826087,0.9391304347826087,0.9884057971014493,0.9884057971014493,0.9768115942028985,0.9391304347826087,0.2,0,1
0.9826086956521739,0.9768115942028985,0.9768115942028985,0.4144927536231884,0.47246376811594204,0.9768115942028985,0.9768115942028985,0.9768115942028985,0.9768115942028985,0.9797101449275363,0.9768115942028985,0.1565217391304348,1,1
0.9797101449275363,0.9681159420289855,0.9652173913043478,0.5478260869565217,0.5739130434782609,0.9681159420289855,0.9681159420289855,0.9652173913043478,0.9652173913043478,0.9681159420289855,0.9681159420289855,0.16521739130434782,0,0
0.9507246376811594,0.9710144927536232,0.9710144927536232,0.5652173913043478,0.591304347826087,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.16231884057971013,1,1
0.9594202898550724,0.9739130434782609,0.9681159420289855,0.6869565217391305,0.8260869565217391,0.9739130434782609,0.9739130434782609,0.9681159420289855,0.9681159420289855,0.9739130434782609,0.9739130434782609,0.15942028985507245,1,1
0.014492753623188406,0.9623188405797102,0.9739130434782609,0.04927536231884058,0.45217391304347826,0.9594202898550724,0.9594202898550724,0.9739130434782609,0.9739130434782609,0.9652173913043478,0.9594202898550724,0.17391304347826086,1,1
0.8492753623188406,0.9652173913043478,0.9420289855072463,0.8579710144927536,0.8347826086956521,0.9652173913043478,0.9652173913043478,0.9420289855072463,0.9420289855072463,0.9623188405797102,0.9652173913043478,0.1681159420289855,0,1
0.9536231884057971,0.8376811594202899,0.9536231884057971,0.2289855072463768,0.36231884057971014,0.8782608695652174,0.8782608695652174,0.9623188405797102,0.9623188405797102,0.9391304347826087,0.8782608695652174,0.32753623188405795,1,1
0.9681159420289855,0.9507246376811594,0.9623188405797102,0.39710144927536234,0.46956521739130436,0.9391304347826087,0.9391304347826087,0.9623188405797102,0.9623188405797102,0.9536231884057971,0.936231884057971,0.2,0,1
0.9449275362318841,0.9246376811594202,0.9565217391304348,0.2811594202898551,0.3710144927536232,0.9246376811594202,0.9246376811594202,0.9565217391304348,0.9565217391304348,0.9449275362318841,0.9246376811594202,0.21159420289855072,1,1
0.9652173913043478,0.9478260869565217,0.9594202898550724,0.42028985507246375,0.4608695652173913,0.9391304347826087,0.9391304347826087,0.9565217391304348,0.9565217391304348,0.9507246376811594,0.9333333333333333,0.2,0,1
0.9420289855072463,0.9536231884057971,0.936231884057971,0.5101449275362319,0.5623188405797102,0.9536231884057971,0.9536231884057971,0.936231884057971,0.936231884057971,0.9478260869565217,0.9420289855072463,0.17971014492753623,0,1
0.9565217391304348,0.9565217391304348,0.9478260869565217,0.5014492753623189,0.5681159420289855,0.9565217391304348,0.9565217391304348,0.9478260869565217,0.9478260869565217,0.9565217391304348,0.9565217391304348,0.17681159420289855,0,1
0.6028985507246377,0.927536231884058,0.9391304347826087,0.13333333333333333,0.4579710144927536,0.9304347826086956,0.9304347826086956,0.9420289855072463,0.9420289855072463,0.9391304347826087,0.927536231884058,0.20579710144927535,1,1
0.9391304347826087,0.9826086956521739,0.8666666666666667,0.9739130434782609,0.9217391304347826,0.9826086956521739,0.9826086956521739,0.8579710144927536,0.8579710144927536,0.9594202898550724,0.9826086956521739,0.15072463768115943,0,0
0.9188405797101449,0.6173913043478261,0.9507246376811594,0.05507246376811594,0.3652173913043478,0.7217391304347827,0.7217391304347827,0.9565217391304348,0.9565217391304348,0.9391304347826087,0.7217391304347827,0.5681159420289855,1,1
0.9710144927536232,0.9188405797101449,0.927536231884058,0.5391304347826087,0.5652173913043478,0.9188405797101449,0.9188405797101449,0.927536231884058,0.927536231884058,0.9391304347826087,0.9188405797101449,0.2144927536231884,0,0
