Epoch 33/200,Train_Loss: 0.4772,Train_Accuracy: 0.8651,train_F1: 0.8651,train_AUC: 0.9193, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 34/200,Train_Loss: 0.6125,Train_Accuracy: 0.7857,train_F1: 0.7857,train_AUC: 0.7206, Val_Accuracy: 0.9286,Val_F1: 0.9286,Val_AUC: 1.0000
Epoch 35/200,Train_Loss: 0.5323,Train_Accuracy: 0.7778,train_F1: 0.7778,train_AUC: 0.8618, Val_Accuracy: 0.9286,Val_F1: 0.9286,Val_AUC: 1.0000
Epoch 36/200,Train_Loss: 0.4826,Train_Accuracy: 0.7857,train_F1: 0.7857,train_AUC: 0.9208, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 37/200,Train_Loss: 0.4385,Train_Accuracy: 0.8095,train_F1: 0.8095,train_AUC: 0.9331, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 38/200,Train_Loss: 0.3832,Train_Accuracy: 0.8730,train_F1: 0.8730,train_AUC: 0.9636, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 39/200,Train_Loss: 0.4217,Train_Accuracy: 0.8810,train_F1: 0.8810,train_AUC: 0.9434, Val_Accuracy: 0.8929,Val_F1: 0.8929,Val_AUC: 1.0000
Epoch 40/200,Train_Loss: 0.6236,Train_Accuracy: 0.5714,train_F1: 0.5714,train_AUC: 0.8303, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 41/200,Train_Loss: 0.3816,Train_Accuracy: 0.8810,train_F1: 0.8810,train_AUC: 0.9090, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 42/200,Train_Loss: 0.4159,Train_Accuracy: 0.9048,train_F1: 0.9048,train_AUC: 0.9700, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 43/200,Train_Loss: 0.4908,Train_Accuracy: 0.8730,train_F1: 0.8730,train_AUC: 0.8549, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 44/200,Train_Loss: 0.3952,Train_Accuracy: 0.8968,train_F1: 0.8968,train_AUC: 0.9395, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 45/200,Train_Loss: 0.4258,Train_Accuracy: 0.8730,train_F1: 0.8730,train_AUC: 0.9331, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 46/200,Train_Loss: 0.3586,Train_Accuracy: 0.8889,train_F1: 0.8889,train_AUC: 0.9646, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 47/200,Train_Loss: 0.4375,Train_Accuracy: 0.8492,train_F1: 0.8492,train_AUC: 0.8879, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 48/200,Train_Loss: 0.3549,Train_Accuracy: 0.8810,train_F1: 0.8810,train_AUC: 0.9493, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 49/200,Train_Loss: 0.3899,Train_Accuracy: 0.9127,train_F1: 0.9127,train_AUC: 0.9680, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 50/200,Train_Loss: 0.3339,Train_Accuracy: 0.8968,train_F1: 0.8968,train_AUC: 0.9557, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
Epoch 51/200,Train_Loss: 0.3428,Train_Accuracy: 0.8889,train_F1: 0.8889,train_AUC: 0.9385, Val_Accuracy: 1.0000,Val_F1: 1.0000,Val_AUC: 1.0000
