Node,Initial Risk Probability,Best Risk Probability,Rescue Ratio
0,0.5164055228233337,0.5095314383506775,0.0
1,0.5013887286186218,0.5008575320243835,0.0
2,0.5173312425613403,0.5165547728538513,0.0
3,0.2676424980163574,0.2557630240917206,0.0
4,0.4475648105144501,0.4404979348182678,0.0
5,0.3828345239162445,0.37524256110191345,0.0
6,0.3723604679107666,0.3618459105491638,0.0
7,0.5349838137626648,0.5283867120742798,0.0
8,0.5848639011383057,0.5846579670906067,0.0
9,0.4479203224182129,0.44094428420066833,0.0
10,0.5208986401557922,0.5142800807952881,0.0
11,0.5190279483795166,0.5184752941131592,0.0
12,0.5505759716033936,0.5499518513679504,0.0
13,0.5207458734512329,0.5200271010398865,0.0
14,0.5461429357528687,0.54548579454422,0.0
15,0.5260089635848999,0.5256175398826599,0.0
16,0.5868529081344604,0.5866444706916809,0.0
17,0.48781508207321167,0.4875062108039856,0.0
18,0.48322731256484985,0.4831981360912323,0.0
19,0.40447941422462463,0.4044305682182312,0.0
20,0.49567538499832153,0.48838508129119873,0.0
21,0.46314537525177,0.4561046361923218,0.0
22,0.6011943221092224,0.601119339466095,0.0
23,0.5018622279167175,0.501710057258606,0.0
24,0.5133469700813293,0.5132049918174744,0.0
25,0.48429033160209656,0.4841904044151306,0.0
26,0.4628331959247589,0.46257835626602173,0.0
27,0.6038663387298584,0.6038466095924377,0.0
28,0.40380409359931946,0.3949878513813019,0.03129047527909279
29,0.4553053677082062,0.45514288544654846,0.0
30,0.3829428255558014,0.38289564847946167,0.0
31,0.4099009931087494,0.4098401665687561,0.0
32,0.5045366883277893,0.5042665600776672,0.0
33,0.5222786664962769,0.5219851732254028,0.0
34,0.4516622722148895,0.451509028673172,0.0
35,0.49412819743156433,0.486877977848053,0.0
36,0.43593358993530273,0.43586865067481995,0.0
37,0.5149357914924622,0.5147534608840942,0.0
38,0.49945682287216187,0.4923899471759796,0.0
39,0.40877169370651245,0.4087410569190979,0.0
40,0.42598575353622437,0.42591050267219543,0.0
41,0.3958641290664673,0.39581969380378723,0.0
42,0.40591514110565186,0.4058578908443451,0.0
43,0.5252346396446228,0.5251588225364685,0.0
44,0.43787744641304016,0.43782946467399597,0.0
45,0.41760188341140747,0.4175926446914673,0.0
46,0.36980512738227844,0.3697936534881592,0.0
47,0.4629921019077301,0.4629806876182556,0.0
48,0.4039112627506256,0.4039067029953003,0.0
49,0.38060638308525085,0.38059285283088684,0.0
50,0.4351382851600647,0.43509140610694885,0.0
51,0.43192440271377563,0.4317815601825714,0.0
52,0.4134000837802887,0.3172125220298767,0.03199140727519989
53,0.43286341428756714,0.4328533113002777,0.0
54,0.47801080346107483,0.4777454137802124,0.0
55,0.4555857181549072,0.45541518926620483,0.0
56,0.4729633331298828,0.4729520380496979,0.0
57,0.45346787571907043,0.4534650146961212,0.0
58,0.37790361046791077,0.37789201736450195,0.0
59,0.5179225206375122,0.5177657604217529,0.0
60,0.40466201305389404,0.40460559725761414,0.0
61,0.385636568069458,0.3856295943260193,0.0
62,0.41188570857048035,0.411880761384964,0.0
63,0.5978821516036987,0.5978714227676392,0.0
64,0.3861076831817627,0.38608500361442566,0.0
65,0.4987858533859253,0.4984953701496124,0.0
66,0.366489052772522,0.36647623777389526,0.0
67,0.3866807222366333,0.3866386115550995,0.0
68,0.4270646572113037,0.42700305581092834,0.0
69,0.38965046405792236,0.38963761925697327,0.0
70,0.5982046127319336,0.5628750324249268,0.03080814518034458
71,0.42645081877708435,0.4264459013938904,0.0
72,0.43656912446022034,0.43650051951408386,0.0
73,0.4781744182109833,0.4781727194786072,0.0
74,0.4652751088142395,0.4652683138847351,0.0
