Node,Initial Risk Probability,Best Risk Probability,Rescue Ratio
0,0.17296218872070312,0.00020242358732502908,0.0
1,0.26192358136177063,0.0023832153528928757,0.0
2,0.20594942569732666,0.0005732838180847466,0.03615226596593857
3,0.3896801769733429,0.03584020584821701,0.01939428225159645
4,0.1615583300590515,0.1597258299589157,0.0
5,0.4732709228992462,0.4726404845714569,0.0
6,0.2747576832771301,0.003299466334283352,0.0
7,0.42703378200531006,0.07001340389251709,0.0
8,0.4413047730922699,0.0898931547999382,0.07283107936382294
9,0.05992280691862106,0.03279728814959526,0.03616122901439667
10,0.09005117416381836,0.0899968221783638,0.0
11,0.1003674790263176,0.0791822075843811,0.03627099096775055
12,0.38089391589164734,0.029551971703767776,0.0
13,0.09776170551776886,0.0977468341588974,0.0
14,0.6277849674224854,0.6277682781219482,0.0
15,0.07652214169502258,0.07646992802619934,0.0
16,0.0798337310552597,0.0493117980659008,0.10872258245944977
17,0.06425288319587708,0.06323335319757462,0.0
18,0.05600299313664436,0.03741636872291565,0.14451685547828674
19,0.1315348595380783,0.12770915031433105,0.0
20,0.06300778687000275,0.0629429817199707,0.0
21,0.06049320101737976,0.0596737302839756,0.0
22,0.05987019091844559,0.03978181630373001,0.03617364168167114
23,0.4921739399433136,0.4921253025531769,0.0
24,0.32416561245918274,0.3241160809993744,0.0
25,0.24395495653152466,0.1536312997341156,0.03648001700639725
26,0.6373195648193359,0.6373065710067749,0.0
27,0.1009453758597374,0.0342547707259655,0.03623088821768761
28,0.3404648005962372,0.34045693278312683,0.0
29,0.09655683487653732,0.09653406590223312,0.0
30,0.38242030143737793,0.3823598325252533,0.0
31,0.5705010294914246,0.5704736113548279,0.0
32,0.3177412152290344,0.3174173831939697,0.0
33,0.6519713997840881,0.6519620418548584,0.0
34,0.4360427260398865,0.4360349774360657,0.0
35,0.2629222869873047,0.002358074998483062,0.0
36,0.543464183807373,0.543464183807373,0.0
37,0.09182446449995041,0.09175942093133926,0.0
38,0.7561612725257874,0.7561608552932739,0.0
39,0.3971530795097351,0.25560635328292847,0.07298806309700012
40,0.6680193543434143,0.6680135726928711,0.0
41,0.7119938731193542,0.30120983719825745,0.03635796532034874
42,0.21779853105545044,0.21778640151023865,0.0
43,0.45294708013534546,0.11122528463602066,0.0
44,0.15676121413707733,0.15436065196990967,0.0
45,0.6135485768318176,0.6135239005088806,0.0
46,0.6885590553283691,0.22928060591220856,0.0365690179169178
47,0.22620359063148499,0.22619111835956573,0.0
48,0.11770305037498474,0.11769360303878784,0.0
49,0.06730663031339645,0.06726941466331482,0.0
50,0.5436629056930542,0.3860258460044861,0.03657509386539459
51,0.5383957624435425,0.5383957624435425,0.0
52,0.4547344148159027,0.4547259211540222,0.0
53,0.5240271687507629,0.5240154266357422,0.0
54,0.16879837214946747,0.10664133727550507,0.07265910506248474
55,0.6531614065170288,0.22040605545043945,0.03647454082965851
56,0.23507139086723328,0.23506927490234375,0.0
57,0.5369071960449219,0.39603352546691895,0.03664785623550415
58,0.5463983416557312,0.5463916063308716,0.0
59,0.11806973814964294,0.11806119978427887,0.0
60,0.22488844394683838,0.2248348742723465,0.0
61,0.38869336247444153,0.14065955579280853,0.03638051450252533
62,0.5250138640403748,0.5250138640403748,0.0
63,0.6303642988204956,0.17638656497001648,0.0364827960729599
64,0.5402778387069702,0.5402778387069702,0.0
65,0.13036499917507172,0.13035528361797333,0.0
66,0.6654654145240784,0.6654602289199829,0.0
