Node,Average Rescue Ratio,Average Risk Probability
0,0.0,7.868057582527399e-05
1,0.0,3.3624971695900285e-09
2,0.0,1.1750832664235803e-21
3,0.0,4.645937856651017e-09
4,0.0,9.679808954388136e-07
5,0.0,2.4759135713869895e-11
6,0.0,9.499793804934598e-07
7,0.0,9.499793804934598e-07
8,0.0,2.251521857843386e-09
9,0.0,1.1046228109989897e-06
10,0.0,3.906210622517392e-05
11,0.0,1.979873559321277e-05
12,0.0,0.00024361182295251638
13,0.0,0.00013216654770076275
14,0.0,5.7326793466927484e-05
15,0.0,0.0010976542253047228
16,0.0,0.00030750720179639757
17,0.0,0.0016519675264135003
18,0.0,5.3243489674059674e-05
19,0.0,0.018813369795680046
20,0.0,0.00038274104008451104
21,0.0,0.22333970665931702
22,0.0,0.5579694509506226
23,0.0,0.020936019718647003
24,0.0,0.00024787019356153905
25,0.06800000369548798,0.00841644685715437
26,0.0,1.1139357411593664e-05
27,0.0,0.000590013456530869
28,0.0,0.1865115910768509
29,0.0,4.819319656235166e-05
30,0.006999999284744263,0.7441213130950928
31,0.0,4.6608911361545324e-05
32,0.07000000029802322,0.00253838999196887
33,0.0,0.00013470234989654273
34,0.019000014290213585,0.601111888885498
35,0.0,0.2761954367160797
36,0.0,0.854030430316925
37,0.0,0.7578698396682739
38,0.0,0.11249260604381561
39,0.0,0.00024778160150162876
40,0.0,0.44505104422569275
41,0.06999994069337845,0.0016920758644118905
42,0.0,0.00018110303790308535
43,0.0,3.2918313081609085e-05
44,0.0,2.4276701878989115e-05
45,0.0,0.00015639471530448645
46,0.06999997794628143,0.0008701980113983154
47,0.06999998539686203,0.0006820419803261757
48,0.0,0.00013768381904810667
49,0.06999998539686203,0.0006609769188798964
50,0.00500001385807991,0.7987123131752014
51,0.0,0.8410541415214539
52,0.0,3.924408247257816e-06
53,0.0,0.8722890615463257
54,0.07000000029802322,0.001114013371989131
55,0.0,0.00012281241652090102
56,0.0,7.797533908160403e-05
57,0.06999999284744263,0.0010897826869040728
58,0.0,6.996048796281684e-06
59,0.0,0.7164462208747864
60,0.0,0.6974114179611206
61,0.0,0.9182998538017273
62,0.0,9.497655264567584e-05
63,0.0,1.0505968020879664e-05
64,0.01000002771615982,0.7179602980613708
65,0.0,2.974274684675038e-05
66,0.0,0.8291270136833191
67,0.0,5.7321130952914245e-06
68,0.0,1.6643114122416591e-06
69,0.047000013291835785,0.2623041272163391
70,0.0,2.5896656552504282e-06
71,0.045000024139881134,0.2657431364059448
72,0.0,1.4267629921960179e-06
73,0.0,0.9597952961921692
74,0.0,3.4023546504613478e-06
75,0.0,2.6043292109534377e-06
76,0.0,0.5038620233535767
77,0.0,3.4262270673934836e-06
78,0.0,0.9588397741317749
79,0.0,3.148417454212904e-05
80,0.0,4.589110176311806e-05
81,0.0,0.0006044111214578152
82,0.0,0.00010112902236869559
83,0.05900002643465996,0.089305579662323
84,0.0,0.9592774510383606
