Node,Initial Risk Probability,Best Risk Probability,Rescue Ratio
0,0.17296218872070312,0.16738858819007874,0.0
1,0.26192358136177063,0.256399542093277,0.05397816002368927
2,0.20594942569732666,0.200278639793396,0.05656350404024124
3,0.3896801769733429,0.3890891373157501,0.0
4,0.1615583300590515,0.16048794984817505,0.0
5,0.4732709228992462,0.47311368584632874,0.0
6,0.2747576832771301,0.26935166120529175,0.0
7,0.42703378200531006,0.42656147480010986,0.0
8,0.4413047730922699,0.44084104895591736,0.0
9,0.05992280691862106,0.0599178746342659,0.0
10,0.09005117416381836,0.09003790467977524,0.0
11,0.1003674790263176,0.10036095976829529,0.0
12,0.38089391589164734,0.3802270293235779,0.04907755181193352
13,0.09776170551776886,0.09775889664888382,0.0
14,0.6277849674224854,0.6277790069580078,0.0
15,0.07652214169502258,0.07651341706514359,0.0
16,0.0798337310552597,0.07982517778873444,0.0
17,0.06425288319587708,0.06421776115894318,0.0
18,0.05600299313664436,0.05599290505051613,0.0
19,0.1315348595380783,0.12809470295906067,0.0
20,0.06300778687000275,0.06299697607755661,0.0
21,0.06049320101737976,0.06046418473124504,0.0
22,0.05987019091844559,0.059864867478609085,0.0
23,0.4921739399433136,0.4921613037586212,0.0
24,0.32416561245918274,0.13842390477657318,0.041224393993616104
25,0.24395495653152466,0.15022742748260498,0.04021114110946655
26,0.6373195648193359,0.6373175382614136,0.0
27,0.1009453758597374,0.10093827545642853,0.0
28,0.3404648005962372,0.20476758480072021,0.07504333555698395
29,0.09655683487653732,0.09655210375785828,0.0
30,0.38242030143737793,0.38240399956703186,0.0
31,0.5705010294914246,0.5704915523529053,0.0
32,0.3177412152290344,0.3176637887954712,0.0
33,0.6519713997840881,0.6519687175750732,0.0
34,0.4360427260398865,0.4360405206680298,0.0
35,0.2629222869873047,0.2575643062591553,0.0
36,0.543464183807373,0.543464183807373,0.0
37,0.09182446449995041,0.0918123871088028,0.0
38,0.7561612725257874,0.7561612725257874,0.0
39,0.3971530795097351,0.39713650941848755,0.0
40,0.6680193543434143,0.668018639087677,0.0
41,0.7119938731193542,0.711993396282196,0.0
42,0.21779853105545044,0.21779406070709229,0.0
43,0.45294708013534546,0.452503502368927,0.029505576938390732
44,0.15676121413707733,0.1566791534423828,0.0
45,0.6135485768318176,0.6135444641113281,0.0
46,0.6885590553283691,0.214940145611763,0.04006320983171463
47,0.22620359063148499,0.22619904577732086,0.0
48,0.11770305037498474,0.11770086735486984,0.0
