External_Assets,Lent_Funds,Borrowed_Funds,LMI,First_Order_Neighbor_Default_Rate,Basic_Default,Loan_Count_Number_of_Creditors,In_Degree_Centrality,Out_Degree_Centrality,Closeness_Centrality,Betweenness_Centrality,PageRank,Average_Indegree_of_In_Neighbors,y
58248812.0,21461095.0,22389573.0,-0.01164821331431236,0.1267605633802817,0,52.0,0.7222222222222222,0.986111111111111,0.9863013698630136,0.08634071192023063,0.04546456774876675,21.134615384615383,0
47948069.0,11942147.0,26321149.0,-0.24008933278851424,0.1267605633802817,0,48.0,0.6666666666666666,0.986111111111111,0.9863013698630136,0.06400763941110181,0.036195535400567545,22.0625,0
8455000.0,34840028.0,24381131.0,0.24157270437612374,0.125,0,58.0,0.8055555555555555,1.0,1.0,0.1798461892285248,0.08468702794716833,19.862068965517242,0
5261000.0,9877709.0,6792387.0,0.20380350794773847,0.13846153846153847,0,45.0,0.625,0.8888888888888888,0.9,0.0407910249092761,0.032530977503010566,23.066666666666666,0
4911985.0,11254300.0,16174323.0,-0.30433850448634303,0.11428571428571428,1,48.0,0.6666666666666666,0.9722222222222222,0.972972972972973,0.06100816105951081,0.03618941877372149,22.0625,1
2426171.0,23579902.0,1200585.0,0.8605419587955475,0.16071428571428573,0,52.0,0.7222222222222222,0.4861111111111111,0.6605504587155964,0.025723625129434987,0.04491793795902608,21.134615384615383,0
6538800.0,5688265.0,2414472.0,0.26774970117522073,0.16363636363636364,0,43.0,0.5972222222222222,0.6527777777777778,0.7422680412371134,0.019798945891962336,0.02960453999903937,23.46511627906977,0
6957707.0,2566975.0,8452794.0,-0.6179543841988635,0.13636363636363635,0,34.0,0.4722222222222222,0.9166666666666666,0.9230769230769231,0.02270682526697785,0.020248799871272823,26.558823529411764,1
5144850.0,957201.0,4569512.0,-0.5919830889646777,0.14754098360655737,0,27.0,0.375,0.8333333333333333,0.8571428571428571,0.009702156921933923,0.01504138745202056,29.51851851851852,0
3357100.0,2086976.0,1130856.0,0.17562576275569997,0.225,0,33.0,0.4583333333333333,0.4444444444444444,0.6428571428571429,0.0031587959184790166,0.019148458903964556,26.96969696969697,0
5213181.0,1202458.0,6806830.0,-0.8735485272784207,0.125,1,29.0,0.40277777777777773,0.8888888888888888,0.9,0.014065732074828325,0.01600660405556247,28.20689655172414,1
2174304.0,706281.0,2388732.0,-0.5840657366472435,0.16666666666666666,0,26.0,0.3611111111111111,0.6527777777777778,0.7422680412371134,0.0037730519024533104,0.014661464493694381,30.423076923076923,0
2571854.0,218128.0,2551188.0,-0.8362276172391077,0.14583333333333334,1,19.0,0.2638888888888889,0.6527777777777778,0.7422680412371134,0.0013227513227513225,0.01152063403314004,34.1578947368421,1
3126300.0,1556733.0,1432658.0,0.026494581609824232,0.21428571428571427,0,31.0,0.4305555555555555,0.4861111111111111,0.6605504587155964,0.0029734667718822644,0.01720498961282919,27.35483870967742,0
4695134.0,364142.0,1933114.0,-0.3101178903858971,0.16279069767441862,0,22.0,0.3055555555555555,0.5833333333333333,0.7058823529411765,0.001287452277769179,0.012669514435548902,32.36363636363637,0
2465359.0,274463.0,791981.0,-0.18888745327251186,0.21875,0,21.0,0.29166666666666663,0.38888888888888884,0.6206896551724138,0.0,0.012096157207818876,32.80952380952381,0
1265527.0,2945730.0,4384076.0,-0.34154790363067367,0.13333333333333333,1,35.0,0.4861111111111111,0.8194444444444444,0.8470588235294118,0.01784315248957268,0.021446726382236,26.34285714285714,1
1822773.0,54295.0,1520002.0,-0.7808491754161277,0.16666666666666666,0,9.0,0.125,0.5,0.6666666666666666,0.0,0.0074654717546015475,41.77777777777778,0
3579871.0,1099676.0,433616.0,0.14233429004987022,0.25,0,28.0,0.38888888888888884,0.2777777777777778,0.5806451612903226,0.00015665574644447886,0.015123235634183411,28.928571428571427,0
690966.0,290141.0,839727.0,-0.5601692781725133,0.21875,0,21.0,0.29166666666666663,0.38888888888888884,0.6206896551724138,0.0,0.012096157207818876,32.80952380952381,1
921203.0,167377.0,1059069.0,-0.8191331826783517,0.14705882352941177,1,17.0,0.2361111111111111,0.4583333333333333,0.6486486486486487,0.0,0.010711943935579168,35.529411764705884,1
742103.0,139390.0,54282.0,0.09654983079842948,0.3333333333333333,0,14.0,0.19444444444444442,0.09722222222222221,0.5255474452554745,0.0,0.009026874164440615,36.57142857142857,0
2008100.0,47709.0,161760.0,-0.055477430053083726,0.2,0,9.0,0.125,0.18055555555555555,0.549618320610687,0.0,0.0074654717546015475,41.77777777777778,0
908654.0,532392.0,728087.0,-0.13580066146396438,0.22580645161290322,0,24.0,0.3333333333333333,0.3472222222222222,0.6050420168067226,9.780907668231612e-05,0.013605456180496946,31.708333333333332,0
345182.0,483637.0,547024.0,-0.07647870041589297,0.2413793103448276,0,23.0,0.3194444444444444,0.3055555555555555,0.5901639344262295,0.0,0.01292590911124484,31.91304347826087,0
677642.0,115662.0,1058786.0,-1.1888557223964584,0.15151515151515152,1,14.0,0.19444444444444442,0.4583333333333333,0.6486486486486487,0.0,0.009026874164440615,36.57142857142857,1
