Epoch 35/500, Train_Loss: 0.0057, Train_Accuracy: 0.2055, Val_Accuracy: 0.2222, Val_F1: 0.2222,Val_AUC: 0.7143,Test_Accuracy: 0.2593
Epoch 36/500, Train_Loss: 0.0047, Train_Accuracy: 0.3219, Val_Accuracy: 0.2222, Val_F1: 0.2222,Val_AUC: 0.7143,Test_Accuracy: 0.2593
Epoch 37/500, Train_Loss: 0.0044, Train_Accuracy: 0.2945, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.1852
Epoch 38/500, Train_Loss: 0.0057, Train_Accuracy: 0.1644, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.3333
Epoch 39/500, Train_Loss: 0.0054, Train_Accuracy: 0.1986, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.2222
Epoch 40/500, Train_Loss: 0.0038, Train_Accuracy: 0.5411, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5185
Epoch 41/500, Train_Loss: 0.0061, Train_Accuracy: 0.2603, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.2963
Epoch 42/500, Train_Loss: 0.0043, Train_Accuracy: 0.7055, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 43/500, Train_Loss: 0.0038, Train_Accuracy: 0.7397, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.6296
Epoch 44/500, Train_Loss: 0.0047, Train_Accuracy: 0.7192, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.6667
Epoch 45/500, Train_Loss: 0.0041, Train_Accuracy: 0.8630, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 46/500, Train_Loss: 0.0042, Train_Accuracy: 0.5616, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.5185
Epoch 47/500, Train_Loss: 0.0034, Train_Accuracy: 0.8699, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 48/500, Train_Loss: 0.0044, Train_Accuracy: 0.8356, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7407
Epoch 49/500, Train_Loss: 0.0040, Train_Accuracy: 0.6370, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.6296
Epoch 50/500, Train_Loss: 0.0049, Train_Accuracy: 0.8630, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 51/500, Train_Loss: 0.0039, Train_Accuracy: 0.8699, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 52/500, Train_Loss: 0.0033, Train_Accuracy: 0.6712, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.7407
Epoch 53/500, Train_Loss: 0.0037, Train_Accuracy: 0.6164, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.6296
Epoch 54/500, Train_Loss: 0.0042, Train_Accuracy: 0.3836, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.4815
Epoch 55/500, Train_Loss: 0.0039, Train_Accuracy: 0.6575, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.4444
Epoch 56/500, Train_Loss: 0.0044, Train_Accuracy: 0.3082, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.7143,Test_Accuracy: 0.4444
Epoch 57/500, Train_Loss: 0.0060, Train_Accuracy: 0.2329, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.2593
Epoch 58/500, Train_Loss: 0.0041, Train_Accuracy: 0.4247, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.4074
Epoch 59/500, Train_Loss: 0.0034, Train_Accuracy: 0.8151, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7407
Epoch 60/500, Train_Loss: 0.0041, Train_Accuracy: 0.7877, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 61/500, Train_Loss: 0.0044, Train_Accuracy: 0.8493, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.7778
Epoch 62/500, Train_Loss: 0.0047, Train_Accuracy: 0.4110, Val_Accuracy: 0.7778, Val_F1: 0.7778,Val_AUC: 0.3571,Test_Accuracy: 0.4444
