Node,Average Rescue Ratio,Average Risk Probability
0,0.0,0.007425229996442795
1,0.0,0.00010969310824293643
2,0.0,3.818248668630009e-12
3,0.0,0.00012932016397826374
4,0.0,0.002084704115986824
5,0.0,8.207851351471618e-06
6,0.0,0.0020431983284652233
7,0.0,0.0020431983284652233
8,0.0,0.00010758484859252349
9,0.0,0.0022000090684741735
10,0.0,0.012117688544094563
11,0.0,0.009294788353145123
12,0.0,0.002558792242780328
13,0.0,0.0065306974574923515
14,0.0,0.00605212664231658
15,0.0,0.04507772624492645
16,0.0,0.00766667490825057
17,0.0,0.050551414489746094
18,0.0,0.012016711756587029
19,0.0,0.1592218577861786
20,0.0,0.007644236087799072
21,0.0,0.4378431737422943
22,0.0,0.6587466597557068
23,0.0,0.1489543616771698
24,0.0,0.0032110903412103653
25,0.020999973639845848,0.5376030206680298
26,0.0,3.187030233675614e-05
27,0.0,0.017085064202547073
28,0.0,0.46683821082115173
29,0.0,0.013392646797001362
30,0.0040000551380217075,0.7712768316268921
31,0.0,4.682987855630927e-05
32,0.025000035762786865,0.5214711427688599
33,0.0,0.001016490627080202
34,0.01399998925626278,0.6961114406585693
35,0.0,0.43152934312820435
36,0.0,0.8800908923149109
37,0.0,0.8191507458686829
38,0.0,0.25718238949775696
39,0.0,0.00052490463713184
40,0.0,0.5416494011878967
41,0.05999980494379997,0.08885862678289413
42,0.0,0.0007061771466396749
43,0.0,6.850813224446028e-05
44,0.0,2.4665790988365188e-05
45,0.0,0.009497015736997128
46,0.04199986904859543,0.34538716077804565
47,0.01900012232363224,0.521628737449646
48,0.0,0.0003993325517512858
49,0.027999937534332275,0.5205041766166687
50,0.004000060260295868,0.8016862869262695
51,0.0,0.8608652353286743
52,0.0,3.92813990401919e-06
53,0.0,0.8780166506767273
54,0.004000052809715271,0.7965379953384399
55,0.0,0.0024576447904109955
56,0.0,0.0006104752537794411
57,0.00699999276548624,0.7957051396369934
58,0.0,7.039668616926065e-06
59,0.0,0.7729648947715759
60,0.0,0.750622034072876
61,0.0,0.9194943308830261
62,0.0,9.808901086216792e-05
63,0.0,2.2030331820133142e-05
64,0.006999999284744263,0.8096448183059692
65,0.0,3.037094938918017e-05
66,0.0,0.832800567150116
67,0.0,8.240685019700322e-06
68,0.0,1.7038930764101679e-06
69,0.011000066995620728,0.6994779109954834
70,0.0,2.6139744022657396e-06
71,0.004000038839876652,0.7971110939979553
72,0.0,1.4330690873975982e-06
73,0.0,0.9597952961921692
74,0.0,3.4196746128145605e-06
75,0.0,2.614598315631156e-06
76,0.0,0.504547119140625
77,0.0,3.4469096590328263e-06
78,0.0,0.9588397741317749
79,0.0,3.1575171306030825e-05
80,0.0,4.608489325619303e-05
81,0.0,0.0006094089476391673
82,0.0,0.00010122669482370839
83,0.0,0.890407383441925
84,0.0,0.9592774510383606
