Total Liquidity
23831272.98332832
21925920.09333941
20974342.655792102
19654302.795258492
18724066.05091764
17652085.74111341
17277271.942403264
17040127.206215035
16903872.30754572
16802570.33622416
16750053.949317932
16690809.225897806
16624966.218661105
16599675.005845634
16585704.37970446
16547710.96143302
16500282.054912418
16468407.7289507
16468842.642610239
16427369.392443463
16377933.816818811
16359851.56461229
16343065.031296749
16293473.19523269
16275350.764430726
16249939.346745692
16234034.875656415
16218326.472661925
16206482.405540293
16196176.398376219
16188584.236612927
16187453.34203651
16165855.352880204
16151859.848118965
16145662.710907627
16136777.605756357
16122780.473755347
16108705.40670507
16102443.286226533
16100381.248204345
16094392.651017439
16092476.788297957
16087264.286491744
16081768.832836352
16078205.460881466
16065297.917598737
16064882.878672699
16060510.541587522
16056928.723665597
16053609.11854679
16051766.556687586
16048261.173730118
16046711.664100675
16044367.260883665
16042586.165754601
16041518.157749468
16039793.157648591
16036852.577850534
16036854.390557624
16036257.860808443
16035277.906953681
16034143.521512434
16031094.84840112
16030104.378784515
16029607.692419456
16028430.876373703
16027142.47624096
16025459.087512033
16024498.75376382
16023932.013353223
16022309.78829301
16022037.530395035
16021347.44058605
16020777.508795843
16020701.468634639
16020240.705622489
16019013.28977811
16018173.729077827
16017734.941294879
16017166.114035707
16016882.230815707
16016839.076765627
16016452.695997946
16015801.631932702
16015461.53853107
16015097.785556111
16014725.633096408
16014415.494256547
16014109.03276132
16013902.892734341
16013822.059379337
16013695.797983345
16013614.920352777
16013489.1799686
16013327.220016887
16012972.14217727
16012811.418602819
16012652.286528004
16012464.646979783
16012366.00994052
16012350.233186081
16012252.567585103
16012183.197102053
16012126.761661138
16012028.841419248
16011984.069874452
16011940.1228984
16011887.86250938
16011821.535684686
16011799.676328244
16011762.437854605
16011712.23568639
16011687.065033616
16011678.67124205
16011652.311735554
16011630.091336902
16011634.190436512
16011607.344817266
16011589.316907356
16011590.919424966
16011553.252365857
16011513.617141997
16011504.363842236
16011470.167190278
16011444.898412686
16011431.737654097
16011421.293980777
16011413.580769636
16011401.004195396
16011389.557127634
16011379.708660489
16011374.10582863
16011365.092864042
16011358.472287381
16011354.43571078
16011348.190162513
16011340.144607102
16011336.002416424
16011339.28099001
16011331.99178096
16011327.890702032
16011324.742863007
16011320.874585003
16011325.206815748
16011317.27529327
16011311.451822981
16011304.263544865
16011304.121776804
16011302.919849556
16011298.81936246
16011295.197431017
16011292.109652575
16011289.178981677
16011286.935717214
16011282.682191681
16011281.285078144
16011279.359644543
16011277.169498269
16011273.636400476
16011270.872878432
16011269.227610521
16011268.200425327
16011267.023988234
16011265.485085089
16011264.897637138
16011264.591190927
16011263.558853133
16011262.846645588
16011262.048393717
16011261.597750865
16011260.84982782
16011260.29051794
16011259.583172211
16011259.15831481
16011258.73945977
16011257.868802765
16011257.487672197
16011257.111184172
16011256.717226306
16011256.229398226
16011256.08518734
16011255.91356795
16011255.739230705
16011255.78061705
