Node,Average Rescue Ratio,Average Risk Probability
0,0.0,0.001235196483321488
1,0.0,5.419633453129791e-07
2,0.0,2.2394416233603278e-17
3,0.0,6.967621288822556e-07
4,0.0,3.4786135074682534e-05
5,0.0,9.626669239537478e-09
6,0.0,3.411996294744313e-05
7,0.0,3.411996294744313e-05
8,0.0,3.732458537797356e-07
9,0.0,3.8391219277400523e-05
10,0.0,0.0006644018576480448
11,0.0,0.0003798046673182398
12,0.0,0.0010453120339661837
13,0.0,0.0014190699439495802
14,0.0,0.0009647204424254596
15,0.0,0.010679184459149837
16,0.0,0.0022261347621679306
17,0.0,0.013488559052348137
18,0.0,0.0008278310997411609
19,0.0,0.07378529012203217
20,0.0,0.0024109750520437956
21,0.009999998845160007,0.11255830526351929
22,0.009999998845160007,0.14541800320148468
23,0.0,0.07387645542621613
24,0.0,0.0012129239039495587
25,0.02499997988343239,0.16418345272541046
26,0.0,2.3678590878262185e-05
27,0.0,0.004589655436575413
28,0.001999999862164259,0.32958248257637024
29,0.0,0.0007743859896436334
30,0.01999996416270733,0.1427508145570755
31,0.0,4.668779001804069e-05
32,0.02299996092915535,0.17141017317771912
33,0.0,0.0005083382711745799
34,0.02199997380375862,0.17768166959285736
35,0.004999999888241291,0.23390957713127136
36,0.012999996542930603,0.2030346691608429
37,0.011999998241662979,0.19201205670833588
38,0.0,0.2093583643436432
39,0.0,0.0004112948663532734
40,0.004999999888241291,0.2838746905326843
41,0.05199979618191719,0.17513048648834229
42,0.0,0.0005179802537895739
43,0.0,5.401829184847884e-05
44,0.0,2.4431346901110373e-05
45,0.0,0.0019098680932074785
46,0.05999983102083206,0.18075911700725555
47,0.029999878257513046,0.14878442883491516
48,0.0,0.0002954515512101352
49,0.030999884009361267,0.15167197585105896
50,0.02299998328089714,0.18909434974193573
51,0.009999998845160007,0.1850803643465042
52,0.0,3.925460077880416e-06
53,0.01199999451637268,0.21868565678596497
54,0.11899994313716888,0.34491729736328125
55,0.0,0.0007726198527961969
56,0.0,0.00029839258058927953
57,0.022999946027994156,0.18391868472099304
58,0.0,7.012164132902399e-06
59,0.006999999284744263,0.2620951235294342
60,0.001999999862164259,0.581608235836029
61,0.009999998845160007,0.22364585101604462
62,0.0,9.622172365197912e-05
63,0.0,1.732355849526357e-05
64,0.00999999325722456,0.2336374819278717
65,0.0,2.9987922971486114e-05
66,0.009999998845160007,0.05347038432955742
67,0.0,6.022912202752195e-06
68,0.0,1.6797436046545045e-06
69,0.12499985843896866,0.30819499492645264
70,0.0,2.59889770859445e-06
71,0.019999979063868523,0.1501600444316864
72,0.0,1.42901478739077e-06
73,0.020999997854232788,0.9238831400871277
74,0.0,3.408537395444e-06
75,0.0,2.6079958388436353e-06
76,0.010999998077750206,0.11138685047626495
77,0.0,3.433868187130429e-06
78,0.04699999466538429,0.9377164840698242
79,0.0,3.151668352074921e-05
80,0.0,4.596030339598656e-05
81,0.0,0.0006063099717721343
82,0.0,0.0001011565764201805
83,0.011999969370663166,0.23789887130260468
84,0.06799999624490738,0.9454851150512695
