External_Assets,Lent_Funds,Borrowed_Funds,LMI,First_Order_Neighbor_Default_Rate,Basic_Default,Loan_Count_Number_of_Creditors,In_Degree_Centrality,Out_Degree_Centrality,Closeness_Centrality,Betweenness_Centrality,PageRank,Average_Indegree_of_In_Neighbors,y
516491.0,855085.0,891355.0,-0.02644403226653135,0.43478260869565216,0,52.0,0.7536231884057971,0.8985507246376812,0.8985507246376812,0.11799237811066453,0.05891710741058212,13.0,1
228317.0,467391.0,860648.0,-0.5652615752585854,0.42028985507246375,1,51.0,0.7391304347826088,0.8840579710144928,0.8842880147227973,0.09976987171680263,0.05174074463616643,13.156862745098039,1
21453.0,676778.0,890629.0,-0.3062754303375244,0.42028985507246375,1,51.0,0.7391304347826088,0.8985507246376812,0.8985507246376812,0.1049915255957455,0.051752216656920175,13.156862745098039,1
128042.0,192358.0,134157.0,0.18165106117353308,0.5094339622641509,0,43.0,0.6231884057971014,0.4927536231884058,0.6190016103059581,0.02366160232208826,0.03995329379361676,14.86046511627907,0
43351.0,53034.0,7052.0,0.4770659334958759,0.6071428571428571,0,26.0,0.37681159420289856,0.18840579710144928,0.5018931975453714,0.0004191531685137823,0.023443138206562908,20.692307692307693,0
-10521.0,18733.0,9146.0,1.167437895762299,0.3684210526315789,1,14.0,0.2028985507246377,0.21739130434782608,0.5111022470416169,0.0,0.01457275231028732,31.071428571428573,1
107783.0,466852.0,485310.0,-0.03212125958216955,0.4393939393939394,0,50.0,0.7246376811594203,0.8260869565217391,0.8314947004109885,0.0820801871473227,0.049893910932757204,13.38,1
12119.0,126321.0,53829.0,0.5236347876336319,0.5208333333333334,0,39.0,0.5652173913043478,0.37681159420289856,0.5684708666075126,0.011807585352981773,0.03600980746341821,16.025641025641026,1
33318.0,106549.0,4944.0,0.7264401181122065,0.6410256410256411,0,39.0,0.5652173913043478,0.15942028985507248,0.4930101321020905,0.0007684474756086011,0.034519639798919255,16.025641025641026,0
5239.0,3991.0,0.0,0.4323943661971831,0.3333333333333333,0,9.0,0.13043478260869565,0.0,0.0,0.0,0.011304438991312475,42.55555555555556,0
-317.0,4805.0,1756.0,0.6793672014260249,0.2727272727272727,0,9.0,0.13043478260869565,0.13043478260869565,0.4844360428481411,0.0,0.011304438991312475,42.55555555555556,1
47079.0,3233.0,615.0,0.052035299729686756,0.375,0,7.0,0.10144927536231885,0.07246376811594203,0.46815247838265744,0.0,0.009544080011146625,46.57142857142857,0
55473.0,206386.0,274771.0,-0.26115199401204464,0.43333333333333335,1,43.0,0.6231884057971014,0.6956521739130435,0.7330282227307399,0.04403670888645315,0.040239549356013975,14.86046511627907,1
7311.0,1416.0,0.0,0.16225507047095222,0.42857142857142855,0,7.0,0.10144927536231885,0.0,0.0,0.0,0.009544080011146625,46.57142857142857,0
-3263.0,802.0,17575.0,6.815522145469322,0.29411764705882354,1,6.0,0.08695652173913043,0.2463768115942029,0.520655560070432,0.0,0.008545252426182098,47.166666666666664,1
22995.0,5674.0,964.0,0.16428895322473752,0.3,0,9.0,0.13043478260869565,0.10144927536231885,0.47615508485073704,0.0,0.011304438991312475,42.55555555555556,0
3671.0,5328.0,2054.0,0.3638182020224469,0.2727272727272727,0,9.0,0.13043478260869565,0.14492753623188406,0.48868548182049326,0.0,0.011304438991312475,42.55555555555556,0
4198.0,27600.0,0.0,0.8679791181835336,0.5789473684210527,0,19.0,0.2753623188405797,0.0,0.0,0.0,0.018419953177068606,25.94736842105263,0
3305.0,8826.0,0.0,0.7275574973209133,0.3333333333333333,0,9.0,0.13043478260869565,0.0,0.0,0.0,0.011304438991312475,42.55555555555556,0
25297.0,42548.0,10591.0,0.4710295526567912,0.5384615384615384,0,23.0,0.3333333333333333,0.21739130434782608,0.5111022470416169,0.0005565027943544567,0.022179502153334033,23.08695652173913,0
11987.0,8469.0,0.0,0.41401055924912006,0.3333333333333333,0,9.0,0.13043478260869565,0.0,0.0,0.0,0.011304438991312475,42.55555555555556,0
3203.0,23513.0,0.0,0.8801092977990718,0.6111111111111112,0,18.0,0.2608695652173913,0.0,0.0,0.0,0.01688706383768303,25.944444444444443,0
15625.0,4325.0,0.0,0.21679197994987467,0.3333333333333333,0,9.0,0.13043478260869565,0.0,0.0,0.0,0.011304438991312475,42.55555555555556,0
-5688.0,1527.0,14269.0,3.06224465272771,0.25,1,7.0,0.10144927536231885,0.2318840579710145,0.5158346752549651,0.0,0.009544080011146625,46.57142857142857,1
1008.0,1741.0,5943.0,-1.5285558384867224,0.25,1,7.0,0.10144927536231885,0.17391304347826086,0.4974120082815735,0.0,0.009544080011146625,46.57142857142857,1
7957.0,920.0,4838.0,-0.44136532612369045,0.25,0,6.0,0.08695652173913043,0.17391304347826086,0.4974120082815735,0.0,0.008545252426182098,47.166666666666664,0
-3282.0,672.0,2742.0,0.7931034482758621,0.3,1,5.0,0.07246376811594203,0.14492753623188406,0.48868548182049326,0.0,0.007893816864033888,49.4,1
424.0,3574.0,1145.0,0.6075537768884443,0.3,0,9.0,0.13043478260869565,0.10144927536231885,0.47615508485073704,0.0,0.011304438991312475,42.55555555555556,1
482.0,400.0,389.0,0.012471655328798186,0.4,0,4.0,0.057971014492753624,0.07246376811594203,0.46815247838265744,0.0,0.007181244841466572,51.0,0
71.0,2130.0,499.0,0.741026805997274,0.375,0,7.0,0.10144927536231885,0.07246376811594203,0.46815247838265744,0.0,0.009544080011146625,46.57142857142857,1
826.0,1995.0,9516.0,-2.6660758596242466,0.2,1,7.0,0.10144927536231885,0.21739130434782608,0.5111022470416169,0.0,0.009544080011146625,46.57142857142857,1
-2344.0,1117.0,3780.0,2.170334148329258,0.2727272727272727,1,6.0,0.08695652173913043,0.15942028985507248,0.4930101321020905,0.0,0.008545252426182098,47.166666666666664,1
719.0,10846.0,20087.0,-0.7990488543017726,0.29411764705882354,1,10.0,0.14492753623188406,0.2318840579710145,0.5158346752549651,0.0,0.011731682637100043,38.9,1
505.0,467.0,4224.0,-3.8652263374485596,0.2727272727272727,1,4.0,0.057971014492753624,0.15942028985507248,0.4930101321020905,0.0,0.007181244841466572,51.0,1
7920.0,363.0,9763.0,-1.1348545213087047,0.2,1,4.0,0.057971014492753624,0.21739130434782608,0.5111022470416169,0.0,0.007181244841466572,51.0,1
758.0,580579.0,2265.0,0.9947999181197825,0.56,0,50.0,0.7246376811594203,0.13043478260869565,0.4844360428481411,0.0019283075549060204,0.046267879050740764,13.38,0
0.0,0.0,2756.0,-inf,0.3,1,0.0,0.0,0.14492753623188406,0.49587706146926536,0.0,0.004198830932447061,0.0,1
-476.0,5908.0,1879.0,0.7417157584683358,0.2727272727272727,0,9.0,0.13043478260869565,0.13043478260869565,0.4844360428481411,0.0,0.011304438991312475,42.55555555555556,1
-2408.0,87.0,2405.0,0.998707453683757,0.3,1,2.0,0.028985507246376812,0.14492753623188406,0.48868548182049326,0.0,0.005716166018452229,51.5,1
