JPM
BAC 
"CFU.F 

"
"WFC 

"
"USBC.VI 

"
TFC 
GS 
BK 
"STT 

"
FRCB 
FC6A.SG 
"FITB 

"
MS 
MTB
KEY 
"HBAN 
"
ALLY 
AXP 
RF 
NTRS 
DFS 
BZI.F 
"CMA 

"
ZION 
FHN 
WBS 
WAL 
EWBC 
VLY 
"SNV 

"
UMBF 
CADE
CFR 
"ONB 

"
"BOKF 

"
SSB 
FBAK 
RJF 
ASB 
UMBF 
PB 
"HWC 

"
UBSI 
DB 
DHF 
CBSH 
"FIBK 

"
UBSI 
OZK 
TCBI 
FBAK 
GBCI 
SFNC 
FULT 
ABCB 
UCBI 
"FHB 

"
BOH 
CUBI 
PPBI 
"SF 

"
HOPE 
"AUB 

"
TRMK 
FRME 
MCHB 
RNST 
WSBC 
FFIN 
TOWN 
"WFC 

"
