Node,Initial Risk Probability,Best Risk Probability,Rescue Ratio
0,8.870363785717927e-07,6.121013418347587e-11,0.004895862657576799
1,0.006669202819466591,0.000792351143900305,0.0
2,0.007098132278770208,0.0002445858553983271,0.014942001551389694
3,0.0044213407672941685,0.00012261282245162874,0.00996505655348301
4,0.006129624787718058,0.0009001914877444506,0.0
5,0.0015101503813639283,4.455472662812099e-06,0.009898228570818901
6,0.0027989258524030447,0.000762530486099422,0.0
7,0.006433787755668163,0.0009353563655167818,0.0
8,0.002273096004500985,1.0374457815487403e-05,0.0
9,0.00016692487406544387,7.689000631216913e-05,0.01502467505633831
10,0.0005047437734901905,0.0002155199326807633,0.005068188067525625
11,6.191289867274463e-05,3.536717485985719e-05,0.004849272780120373
12,0.3968176543712616,0.11456447094678879,0.005000539124011993
13,0.00012033768143737689,4.822449409402907e-05,0.00996439065784216
14,0.006624611560255289,0.0009872933151200414,0.00505345594137907
15,5.037122900830582e-05,3.923363328794949e-05,0.0
16,5.783093729405664e-05,4.6497494622599334e-05,0.0
17,4.5715092710452154e-05,4.1585353756090626e-05,0.0
18,0.007018687669187784,0.0009784833528101444,0.005068666767328978
19,0.0001555624621687457,3.530339017743245e-05,0.010030228644609451
20,0.007058161776512861,0.0009635318419896066,0.010125050321221352
21,2.8629990993067622e-05,5.6659091569599696e-06,0.014677408151328564
22,2.4657165340613574e-05,2.382501588726882e-05,0.0
23,0.00505300285294652,0.00011120193084934726,0.0
24,0.00024555367417633533,8.29961645649746e-05,0.00499176187440753
25,0.9311272501945496,0.40407535433769226,0.015159236267209053
26,0.00014869477308820933,0.00013766801566816866,0.0
27,0.00014869477308820933,5.559618512052111e-05,0.004964820109307766
28,0.0012727287830784917,0.00035067085991613567,0.005118278320878744
29,0.981402575969696,0.7068697214126587,0.009837428107857704
30,7.422769704135135e-05,7.320498843910173e-05,0.0
31,0.9977445602416992,0.9002341628074646,0.009789709001779556
32,0.9792466759681702,0.7163926362991333,0.009972868487238884
33,0.0001962977257790044,0.00017892011965159327,0.0
