External_Assets,Lent_Funds,Borrowed_Funds,LMI,First_Order_Neighbor_Default_Rate,Basic_Default,Loan_Count_Number_of_Creditors,In_Degree_Centrality,Out_Degree_Centrality,Closeness_Centrality,Betweenness_Centrality,PageRank,Average_Indegree_of_In_Neighbors,y
76135000.0,110110082.0,94283665.0,0.08497629483714367,0.4594594594594595,0,105.0,0.9375,0.9732142857142857,0.9739130434782609,0.2923752793172436,0.07598014298500155,13.057142857142857,0
161649000.0,118018601.0,126507539.0,-0.030353669748109293,0.45535714285714285,0,106.0,0.9464285714285714,1.0,1.0,0.3264808134227776,0.07821834520266482,12.943396226415095,0
21085180.0,12860068.0,24711931.0,-0.3491464549029072,0.4625,0,66.0,0.5892857142857143,0.6339285714285714,0.7320261437908496,0.05193394512590936,0.035486775663176165,19.181818181818183,1
6536691.0,34707308.0,21189241.0,0.3277583970458345,0.5212765957446809,0,91.0,0.8125,0.5714285714285714,0.7,0.07658806353002777,0.05882994966421617,14.857142857142858,0
7171761.0,20309257.0,12399103.0,0.28784064695128836,0.5365853658536586,0,79.0,0.7053571428571428,0.4375,0.64,0.03359283615980044,0.046400865729802634,16.68354430379747,0
6816321.0,14277313.0,14637184.0,-0.01706064493202072,0.5205479452054794,0,68.0,0.6071428571428571,0.46428571428571425,0.6511627906976745,0.02652237283933712,0.03641714953797466,18.676470588235293,1
7336000.0,2910018.0,12639172.0,-0.9495546464977906,0.3584905660377358,1,29.0,0.2589285714285714,0.4375,0.64,0.005132097207990066,0.016047467834826582,36.0,1
12960024.0,5853816.0,10458669.0,-0.244758805219987,0.43636363636363634,0,48.0,0.42857142857142855,0.375,0.6153846153846154,0.008684956341206349,0.02529428613832432,24.791666666666668,0
6860288.0,8703262.0,8221420.0,0.030959646096167005,0.4915254237288136,0,54.0,0.4821428571428571,0.3571428571428571,0.6086956521739131,0.00981395523806238,0.02782244118701975,22.5,0
3124368.0,523436.0,696784.0,-0.0475211935729003,0.11764705882352941,0,12.0,0.10714285714285714,0.14285714285714285,0.5384615384615384,0.0,0.008040191308641538,62.75,0
3370793.0,8115945.0,5759877.0,0.20511201700604645,0.509090909090909,0,53.0,0.4732142857142857,0.2857142857142857,0.5833333333333334,0.006192560768453627,0.027224155756151537,22.867924528301888,0
8433554.0,3260322.0,7085245.0,-0.3270876995788223,0.35714285714285715,0,32.0,0.2857142857142857,0.3214285714285714,0.5957446808510638,0.0026298665807594377,0.016810285116115244,33.09375,0
3447473.0,8169578.0,746095.0,0.6390161324074415,0.5185185185185185,0,53.0,0.4732142857142857,0.15178571428571427,0.5410628019323671,0.001495174709460424,0.026616518790194634,22.867924528301888,0
4225608.0,1885870.0,7482823.0,-0.9158100544581851,0.2894736842105263,1,22.0,0.19642857142857142,0.33035714285714285,0.5989304812834224,0.0012509473446973448,0.012989692306177048,43.31818181818182,1
