External_Assets,Lent_Funds,Borrowed_Funds,LMI,First_Order_Neighbor_Default_Rate,Basic_Default,Loan_Count_Number_of_Creditors,In_Degree_Centrality,Out_Degree_Centrality,Closeness_Centrality,Betweenness_Centrality,PageRank,Average_Indegree_of_In_Neighbors,y
0.47098961329794803,0.9329892158270882,0.7452809986288643,0.03302093117515882,0.4594594594594595,0,105.0,0.9375,0.9732142857142857,0.9739130434782609,0.2923752793172436,0.07598014298500155,0.12318059299191375,0
1.0,1.0,1.0,-0.011795129942847343,0.45535714285714285,0,106.0,0.9464285714285714,1.0,1.0,0.3264808134227776,0.07821834520266482,0.12210751156995373,0
0.1304380478691486,0.10896645012763709,0.1953395915795975,-0.13567479118141232,0.4625,0,66.0,0.5892857142857143,0.6339285714285714,0.7320261437908496,0.05193394512590936,0.035486775663176165,0.1809605488850772,1
0.040437559155949,0.2940833708069459,0.16749389931615064,0.12736360759989418,0.5212765957446809,0,91.0,0.8125,0.5714285714285714,0.7,0.07658806353002777,0.05882994966421617,0.14016172506738545,0
0.044366256518753595,0.17208522070177734,0.09801078337315533,0.11185197248959236,0.5365853658536586,0,79.0,0.7053571428571428,0.4375,0.64,0.03359283615980044,0.046400865729802634,0.15739192739431573,0
0.042167418295195144,0.12097510798318988,0.11570206894942443,-0.006629594561445046,0.5205479452054794,0,68.0,0.6071428571428571,0.46428571428571425,0.6511627906976745,0.02652237283933712,0.03641714953797466,0.17619311875693672,1
0.0453822788882084,0.02465728262615145,0.09990844893441489,-0.36898735922939147,0.3584905660377358,1,29.0,0.2589285714285714,0.4375,0.64,0.005132097207990066,0.016047467834826582,0.33962264150943394,1
0.08017385817419223,0.04960079131932771,0.08267229828887905,-0.09511080327958157,0.43636363636363634,0,48.0,0.42857142857142855,0.375,0.6153846153846154,0.008684956341206349,0.02529428613832432,0.23388364779874216,0
0.04243940884261579,0.07374483281665066,0.06498758939575926,0.012030606240341093,0.4915254237288136,0,54.0,0.4821428571428571,0.3571428571428571,0.6086956521739131,0.00981395523806238,0.02782244118701975,0.21226415094339623,0
0.01932809977172763,0.0044351991598341346,0.005507845662858084,-0.018466256564133414,0.11764705882352941,0,12.0,0.10714285714285714,0.14285714285714285,0.5384615384615384,0.0,0.008040191308641538,0.5919811320754716,0
0.02085254471107152,0.06876835457488605,0.045529911067197344,0.07970446122339227,0.509090909090909,0,53.0,0.4732142857142857,0.2857142857142857,0.5833333333333334,0.006192560768453627,0.027224155756151537,0.21573513705945177,0
0.052172014673768474,0.02762549269669787,0.0560065040866853,-0.1271029813282968,0.35714285714285715,0,32.0,0.2857142857142857,0.3214285714285714,0.5957446808510638,0.0026298665807594377,0.016810285116115244,0.3122051886792453,0
0.021326905826822312,0.06922279988728218,0.005897632709462477,0.24831522448092153,0.5185185185185185,0,53.0,0.4732142857142857,0.15178571428571427,0.5410628019323671,0.001495174709460424,0.026616518790194634,0.21573513705945177,0
0.026140638049106397,0.01597943022557944,0.05914922588131289,-0.3558745510820236,0.2894736842105263,1,22.0,0.19642857142857142,0.33035714285714285,0.5989304812834224,0.0012509473446973448,0.012989692306177048,0.4086620926243568,1
0.012047949569746797,0.012553716002785018,0.019923935126111337,-0.11773541993082781,0.25,1,19.0,0.16964285714285712,0.19642857142857142,0.5544554455445545,2.111486486486486e-05,0.011203674283784472,0.4428997020854022,1
0.01019441505979004,0.0328350443672858,0.02166117546559814,0.07984499422325951,0.4444444444444444,0,34.0,0.30357142857142855,0.20535714285714285,0.5572139303482587,0.0008287960296888867,0.01742439598694821,0.2977247502774695,0
0.008832191971493791,0.021915850366672283,0.009029027115925478,0.13980800660188814,0.35714285714285715,0,26.0,0.23214285714285712,0.16964285714285712,0.5463414634146342,5.515719801434087e-05,0.014613646309515609,0.3697387518142235,0
0.006900240644853973,0.01048062754107719,0.013551793146493823,-0.0788792630749315,0.2608695652173913,0,18.0,0.1607142857142857,0.1875,0.5517241379310345,0.0,0.010845997279053728,0.4612159329140461,1
0.006345489300892675,0.02932963931677177,0.007857081149922614,0.213682127451653,0.42857142857142855,0,33.0,0.29464285714285715,0.1607142857142857,0.5436893203883495,0.00021637655566226994,0.016926253535822715,0.3056032018296169,0
0.004914877295869446,0.007289994905125168,0.016520651785029192,-0.2887424730962747,0.21739130434782608,1,16.0,0.14285714285714285,0.19642857142857142,0.5544554455445545,0.0,0.009982155969939953,0.49764150943396224,1
0.005216147331564068,0.0056457202030381634,0.011070510193072368,-0.18900743051682642,0.19047619047619047,1,13.0,0.11607142857142856,0.1875,0.5517241379310345,0.0,0.008684135250787227,0.5711175616835994,1
0.004714146081942976,0.015017903830261468,0.013738477672860272,0.005269914431755546,0.2916666666666667,0,20.0,0.17857142857142855,0.1875,0.5517241379310345,1.5752359502359503e-05,0.011812224314226301,0.43254716981132074,1
0.009418493154922084,0.0009027814183291327,0.007821075390613677,-0.2106021442289842,0.15789473684210525,0,5.0,0.04464285714285714,0.16964285714285712,0.5463414634146342,0.0,0.004435491677316082,0.8226415094339623,0
0.0027395406095923882,0.00381402589240996,0.0192648123524085,-0.8646820782650397,0.21739130434782608,1,12.0,0.10714285714285714,0.20535714285714285,0.5572139303482587,0.0,0.008040191308641538,0.5919811320754716,1
