Value
342.0529
326.4956
322.7165
317.1463
334.1387
332.1059
315.3511
333.5631
323.826
330.0562
330.1447
336.0248
331.5376
331.6958
331.1415
335.8278
325.2765
348.9549
335.2333
339.3762
335.9414
341.7045
342.8223
341.0752
344.8857
344.4736
344.4772
343.1349
344.1819
349.6169
347.6443
348.178
352.6398
354.9014
347.3851
348.1758
347.3127
356.4681
358.3492
357.9126
357.4502
358.5808
359.6266
360.1512
363.6777
355.2707
352.5154
355.4787
361.535
358.2546
362.2696
366.9161
362.5035
365.4451
361.5578
363.7906
362.8146
374.9791
360.3288
372.4354
373.459
371.9567
373.912
375.6125
381.6719
383.9494
394.438
388.6669
395.1838
416.0762
429.6898
431.4124
425.0663
425.0515
428.8653
421.1291
453.6314
437.8292
456.0556
463.3074
460.026
471.0103
452.0678
467.1557
467.0488
468.994
474.3896
482.3642
473.5171
489.8608
493.1811
497.2302
496.1457
505.2015
474.9981
511.1799
534.8832
511.2171
541.1339
518.672
551.3052
580.115
547.1577
555.7277
556.6246
563.0939
553.0887
549.4789
564.2999
588.5988
577.1366
566.9307
570.3747
569.4147
605.1307
559.1681
587.0167
569.7577
559.452
594.0125
567.3987
584.1011
607.4724
580.7175
586.4959
598.6063
570.0972
578.6078
578.4701
602.7426
589.9089
592.4222
555.5778
587.1764
594.3669
577.9731
588.9721
602.4308
582.8731
596.311
570.6006
596.226
582.7411
601.666
565.0952
565.3689
575.9504
562.2164
591.2321
574.7465
582.6913
568.97
593.3604
577.928
560.743
574.4608
581.3316
586.3325
596.8368
587.1323
590.5111
600.7996
579.2982
577.1595
590.3883
576.4962
602.0792
563.7424
570.2013
542.9971
596.2729
584.8086
571.1565
584.3303
578.2666
575.9465
588.7742
563.046
592.9426
607.2497
576.9863
605.5853
580.9121
582.1447
587.1107
584.1208
595.6107
594.7189
572.2393
584.9407
567.319
587.5483
580.218
560.7029
568.736
590.075
576.8439
567.9285
594.6117
582.2894
569.4127084774963
592.4866323669061
575.9417078485476
560.1211501290691
573.1724402368714
579.821041616915
584.7191977073263
595.3828052749659
586.1333572565819
589.7425213770098
600.6272681518367
578.8499548706288
576.6384152109076
590.5251357369978
576.4015817555808
601.4124875792719
561.676926216902
568.7516126319598
542.9799736163176
598.8336127982317
588.025373373322
574.3213942654144
586.3095987294678
580.0733091194095
577.852218621062
591.7662974889893
566.0792970286701
595.8258637924631
611.2316798121736
583.2418701563473
614.5420207904739
592.0125000911402
593.1329907384006
598.0905899301761
595.3984107602336
607.9309552477002
606.9987829004008
586.078516863893
598.2380449853084
580.4976991953944
598.769971269626
591.9711967527584
571.3112577994867
579.5489344244704
599.9519538311622
586.8832584239242
577.1220685743825
602.5301629709317
589.2497855359388
575.4794420618693
