Epoch,Average Test Reward,Average Test Risk
1,tensor(137.1649),43.17191332578659
2,tensor(116.7502),43.65934908390045
3,tensor(101.4009),43.55064898729324
4,tensor(103.7620),43.24713498353958
5,tensor(106.2276),43.661294877529144
6,tensor(106.1800),43.637436628341675
7,tensor(111.0022),43.68373930454254
8,tensor(112.6427),43.57246994972229
9,tensor(109.7471),43.57478052377701
10,tensor(116.5879),43.60094040632248
11,tensor(115.3123),43.6698979139328
12,tensor(115.5541),43.55510503053665
13,tensor(113.4434),43.42513173818588
14,tensor(118.3332),43.19285124540329
15,tensor(111.5548),43.36528480052948
16,tensor(116.2290),43.6190328001976
17,tensor(120.9243),43.62410753965378
18,tensor(124.1842),43.7380787730217
19,tensor(121.1689),43.61980348825455
20,tensor(123.5243),43.68424445390701
21,tensor(121.0902),43.634512424468994
22,tensor(119.6090),43.26238602399826
23,tensor(127.8990),43.709767162799835
24,tensor(122.8094),43.68988662958145
25,tensor(119.4181),43.6318564414978
26,tensor(120.1458),43.315384685993195
27,tensor(124.4234),43.65399330854416
28,tensor(128.2979),43.59255373477936
29,tensor(126.8483),43.31949204206467
30,tensor(128.6947),43.672902286052704
31,tensor(126.9982),43.66842657327652
32,tensor(130.0419),43.67150843143463
33,tensor(129.0921),43.67020517587662
34,tensor(131.5259),43.63824248313904
35,tensor(131.2223),43.61458599567413
36,tensor(131.7271),43.63104671239853
37,tensor(133.9538),43.594024777412415
38,tensor(133.7497),43.585582971572876
39,tensor(134.1125),43.64257603883743
40,tensor(134.7698),43.6264568567276
41,tensor(135.6992),43.61163139343262
42,tensor(135.3475),43.61336827278137
43,tensor(134.9964),43.58389139175415
44,tensor(135.9226),43.596005737781525
45,tensor(132.9475),43.61562341451645
46,tensor(134.7956),43.63642692565918
47,tensor(133.7111),43.6072912812233
48,tensor(136.4351),43.61355900764465
49,tensor(137.3667),43.631071746349335
50,tensor(137.1827),43.6179181933403
51,tensor(135.5572),43.61554712057114
52,tensor(138.2363),43.5890594124794
53,tensor(136.8028),43.618170619010925
54,tensor(137.8116),43.62077981233597
55,tensor(135.3040),43.60141158103943
56,tensor(135.0946),43.62294793128967
57,tensor(136.8533),43.60758423805237
58,tensor(135.1006),43.61897200345993
59,tensor(136.0006),43.62633764743805
60,tensor(136.9500),43.6172416806221
61,tensor(137.0375),43.62520515918732
62,tensor(136.0001),43.615164160728455
63,tensor(135.7005),43.60833287239075
64,tensor(135.4082),43.606539368629456
65,tensor(136.0584),43.598955273628235
66,tensor(134.8964),43.61122637987137
67,tensor(134.7557),43.60747039318085
68,tensor(136.6022),43.58555227518082
69,tensor(135.3030),43.60471546649933
70,tensor(135.9116),43.59368294477463
71,tensor(136.0187),43.61490488052368
72,tensor(137.0287),43.61506372690201
73,tensor(136.3556),43.6116361618042
74,tensor(135.5132),43.619341254234314
75,tensor(135.1481),43.60835522413254
76,tensor(136.1843),43.60945641994476
77,tensor(136.0562),43.6042594909668
78,tensor(135.3492),43.60094368457794
79,tensor(135.8363),43.6087167263031
80,tensor(136.0335),43.60868662595749
81,tensor(135.2851),43.606703877449036
82,tensor(135.9731),43.60624670982361
83,tensor(134.7790),43.603104054927826
84,tensor(135.6105),43.604407608509064
85,tensor(135.0170),43.60195517539978
86,tensor(135.4189),43.60422819852829
87,tensor(135.6572),43.60292702913284
88,tensor(135.1143),43.60001891851425
89,tensor(135.2840),43.59927237033844
90,tensor(135.8196),43.60223054885864
91,tensor(135.0924),43.608273565769196
92,tensor(134.9189),43.60099673271179
93,tensor(134.7124),43.60326200723648
94,tensor(135.2613),43.596985936164856
95,tensor(134.4547),43.59587639570236
96,tensor(135.4368),43.599568009376526
97,tensor(134.3930),43.5962900519371
98,tensor(134.3055),43.595971763134
99,tensor(134.8144),43.594509959220886
100,tensor(134.4288),43.592518866062164
101,tensor(134.2456),43.593229949474335
102,tensor(134.3694),43.59356105327606
103,tensor(134.4266),43.5919052362442
104,tensor(134.1908),43.59156668186188
105,tensor(134.7215),43.59331548213959
106,tensor(133.8781),43.59102636575699
107,tensor(134.0981),43.5913410782814
108,tensor(134.2439),43.58961492776871
109,tensor(133.9755),43.59093219041824
110,tensor(134.0199),43.5924431681633
111,tensor(133.8109),43.58798444271088
112,tensor(133.9356),43.58485072851181
113,tensor(133.7466),43.58314573764801
114,tensor(133.4034),43.58699917793274
115,tensor(133.6833),43.584260642528534
116,tensor(133.4280),43.58377426862717
117,tensor(133.3482),43.58096778392792
118,tensor(133.3659),43.58183801174164
119,tensor(133.1410),43.58106791973114
120,tensor(132.9715),43.57779562473297
121,tensor(133.0667),43.57761114835739
122,tensor(132.8428),43.57446879148483
123,tensor(132.6187),43.57732564210892
124,tensor(132.4388),43.57501208782196
125,tensor(132.4500),43.571287989616394
126,tensor(132.3334),43.56893718242645
127,tensor(132.2512),43.570506274700165
128,tensor(131.9688),43.56816738843918
129,tensor(131.7409),43.566976487636566
130,tensor(131.9958),43.56493979692459
131,tensor(131.4050),43.56166958808899
132,tensor(131.5179),43.564422726631165
133,tensor(131.5257),43.56072336435318
134,tensor(131.5330),43.56358349323273
135,tensor(131.6156),43.56057196855545
136,tensor(131.0022),43.55980485677719
137,tensor(130.6804),43.55309039354324
138,tensor(130.3444),43.550716042518616
139,tensor(129.9748),43.54567766189575
140,tensor(130.3441),43.54857265949249
141,tensor(129.6927),43.54473024606705
142,tensor(129.9734),43.55008363723755
143,tensor(129.5988),43.540669679641724
144,tensor(128.8802),43.53666663169861
145,tensor(128.9027),43.536261320114136
146,tensor(128.3977),43.53167653083801
147,tensor(128.3378),43.53067487478256
148,tensor(128.6150),43.53591412305832
149,tensor(128.3118),43.53712260723114
150,tensor(127.9802),43.52901637554169
151,tensor(128.9739),43.53808373212814
152,tensor(128.9724),43.53595942258835
153,tensor(128.7682),43.53208273649216
154,tensor(129.0605),43.53994697332382
155,tensor(129.3481),43.539428412914276
156,tensor(128.6890),43.535184264183044
157,tensor(128.6414),43.53696674108505
158,tensor(128.7071),43.534170389175415
159,tensor(128.8584),43.5391229391098
160,tensor(128.4731),43.53178322315216
161,tensor(127.9970),43.52878212928772
162,tensor(128.0234),43.528273701667786
163,tensor(128.8773),43.537438809871674
164,tensor(128.4046),43.53651285171509
165,tensor(129.8387),43.54549288749695
166,tensor(129.5544),43.5443639755249
167,tensor(130.2287),43.548428416252136
168,tensor(131.0716),43.558969497680664
169,tensor(130.8393),43.561187386512756
170,tensor(130.5855),43.552863001823425
171,tensor(130.3122),43.551017343997955
172,tensor(130.0578),43.54992687702179
173,tensor(130.3952),43.54954540729523
174,tensor(130.4356),43.55016231536865
175,tensor(130.5617),43.55094850063324
176,tensor(130.4356),43.55007350444794
177,tensor(130.5686),43.55132758617401
178,tensor(130.4816),43.55065047740936
179,tensor(130.4426),43.551014959812164
180,tensor(130.9752),43.555159866809845
181,tensor(130.1482),43.548938035964966
182,tensor(130.0384),43.55123698711395
183,tensor(130.3853),43.55236530303955
184,tensor(130.1109),43.5497310757637
185,tensor(130.2265),43.550371527671814
186,tensor(130.2046),43.548797965049744
187,tensor(132.5349),43.57363373041153
188,tensor(132.2493),43.56991112232208
189,tensor(131.9715),43.567970395088196
190,tensor(131.8075),43.56736481189728
191,tensor(131.7571),43.56314659118652
192,tensor(131.6182),43.565894067287445
193,tensor(131.6479),43.56515198945999
194,tensor(132.1633),43.56766700744629
195,tensor(131.7772),43.56707125902176
196,tensor(131.8097),43.56625854969025
197,tensor(131.7514),43.56665104627609
198,tensor(131.5569),43.56099724769592
199,tensor(131.2618),43.56052905321121
200,tensor(131.5540),43.56056600809097
201,tensor(131.4556),43.56187254190445
202,tensor(131.0708),43.55964869260788
203,tensor(131.4103),43.562156558036804
204,tensor(131.3976),43.55875909328461
205,tensor(131.6945),43.56563925743103
206,tensor(131.8499),43.56485903263092
207,tensor(131.6261),43.5674124956131
208,tensor(131.7818),43.563987612724304
209,tensor(131.6279),43.5644194483757
210,tensor(131.3619),43.56461226940155
211,tensor(131.2670),43.559257090091705
212,tensor(130.9112),43.55485826730728
213,tensor(129.6931),43.544417917728424
214,tensor(129.8112),43.54311257600784
215,tensor(130.0385),43.54688823223114
216,tensor(130.5274),43.55118542909622
217,tensor(130.5824),43.553626537323
218,tensor(131.0472),43.556089997291565
219,tensor(130.7728),43.55307072401047
220,tensor(129.6646),43.543917536735535
221,tensor(129.2622),43.538616597652435
222,tensor(109.8544),43.42439383268356
223,tensor(104.8698),43.394381403923035
224,tensor(104.7331),43.39119553565979
225,tensor(104.2941),43.386356830596924
226,tensor(104.0028),43.383897840976715
227,tensor(103.7819),43.38273346424103
228,tensor(103.6919),43.38185250759125
229,tensor(103.5842),43.37969720363617
230,tensor(103.4907),43.3792570233345
231,tensor(103.4734),43.378460109233856
232,tensor(103.4534),43.37865233421326
233,tensor(103.4519),43.37897181510925
234,tensor(103.7111),43.381404876708984
235,tensor(103.6193),43.379876017570496
236,tensor(103.5113),43.378430008888245
237,tensor(103.4669),43.3787602186203
238,tensor(103.4518),43.37922275066376
239,tensor(103.4497),43.3791309595108
240,tensor(103.4630),43.37864249944687
241,tensor(103.4480),43.37884783744812
242,tensor(150.1260),43.33117604255676
243,tensor(103.4521),43.37839037179947
244,tensor(103.4898),43.3789137005806
245,tensor(103.5242),43.379536867141724
246,tensor(103.5121),43.37932050228119
247,tensor(103.4498),43.3782622218132
248,tensor(103.4671),43.378366231918335
249,tensor(103.4468),43.379305601119995
250,tensor(103.4454),43.37878406047821
251,tensor(103.4461),43.378519117832184
252,tensor(103.4452),43.378915190696716
253,tensor(103.4465),43.37852209806442
254,tensor(103.4456),43.37873429059982
255,tensor(103.4481),43.378612995147705
256,tensor(103.4467),43.378678262233734
257,tensor(103.4775),43.37962090969086
258,tensor(103.4442),43.3780500292778
259,tensor(103.5886),43.37979346513748
260,tensor(103.4440),43.378777503967285
261,tensor(103.4506),43.37889105081558
262,tensor(103.4498),43.37845355272293
263,tensor(103.4432),43.37878197431564
264,tensor(103.4456),43.378793597221375
265,tensor(103.4492),43.37849348783493
266,tensor(103.5868),43.37988883256912
267,tensor(103.4492),43.37875574827194
268,tensor(103.4483),43.378168642520905
269,tensor(103.4472),43.37836176156998
270,tensor(103.4497),43.37856322526932
271,tensor(103.4467),43.37873935699463
272,tensor(103.4542),43.37847143411636
273,tensor(103.4740),43.37906241416931
274,tensor(103.4487),43.37849974632263
275,tensor(121.5855),43.35368186235428
276,tensor(103.5066),43.378760516643524
277,tensor(103.5397),43.37954491376877
278,tensor(103.4456),43.378894329071045
279,tensor(103.4424),43.37868332862854
280,tensor(103.4485),43.37851643562317
281,tensor(103.4493),43.378991186618805
282,tensor(135.9725),43.343305587768555
283,tensor(103.4495),43.378484547138214
284,tensor(103.4464),43.378786742687225
285,tensor(103.4479),43.37846964597702
286,tensor(103.4482),43.378797471523285
287,tensor(103.4491),43.378829658031464
288,tensor(103.4425),43.37869316339493
289,tensor(103.4471),43.378469347953796
290,tensor(103.4484),43.37847054004669
291,tensor(103.4476),43.37859958410263
292,tensor(103.4486),43.37834060192108
293,tensor(103.4776),43.37914168834686
294,tensor(103.4492),43.378931283950806
295,tensor(103.4462),43.37845176458359
296,tensor(103.4485),43.37867081165314
297,tensor(103.4911),43.37923675775528
298,tensor(103.4449),43.37895691394806
299,tensor(103.4471),43.37872385978699
300,tensor(103.4501),43.3783745765686
301,tensor(103.4460),43.37889939546585
302,tensor(103.4458),43.378456234931946
303,tensor(103.4464),43.37871730327606
304,tensor(103.4480),43.378664553165436
305,tensor(103.4502),43.378812074661255
306,tensor(103.4459),43.378838896751404
307,tensor(103.4474),43.37879925966263
308,tensor(103.4449),43.37857335805893
309,tensor(103.4483),43.37886095046997
310,tensor(103.5755),43.38011234998703
311,tensor(103.4444),43.37842583656311
312,tensor(103.4431),43.37868273258209
313,tensor(103.4438),43.37881177663803
314,tensor(103.4489),43.37892472743988
315,tensor(103.4484),43.37865501642227
316,tensor(103.4486),43.37865650653839
317,tensor(103.4644),43.37880194187164
318,tensor(103.4452),43.37876558303833
319,tensor(103.4454),43.37882459163666
320,tensor(103.4472),43.37883144617081
321,tensor(103.4566),43.37882101535797
322,tensor(103.5344),43.379647731781006
323,tensor(103.4476),43.37872117757797
324,tensor(103.4470),43.37877839803696
325,tensor(103.4458),43.378708362579346
326,tensor(103.4486),43.37866812944412
327,tensor(103.5887),43.3802804350853
328,tensor(103.4457),43.37863862514496
329,tensor(103.4435),43.3788126707077
330,tensor(103.4471),43.37877810001373
331,tensor(103.4483),43.378064930438995
332,tensor(103.4511),43.378611505031586
333,tensor(103.4505),43.378677666187286
334,tensor(103.4440),43.378687500953674
335,tensor(103.4458),43.37843477725983
336,tensor(103.4460),43.378700613975525
337,tensor(103.4472),43.37883949279785
338,tensor(103.4496),43.37879151105881
339,tensor(103.4419),43.37868809700012
340,tensor(103.4476),43.378732800483704
341,tensor(103.4443),43.37888687849045
342,tensor(103.4421),43.37873697280884
