Node,Average Rescue Ratio,Average Risk Probability
0,0.0,1.79753399665028e-11
1,0.0,1.9105860005197428e-08
2,0.0,3.502281242795391e-10
3,0.0,4.178387825959362e-05
4,0.0,0.12424461543560028
5,0.0,0.4608146548271179
6,0.0,4.850413759527328e-08
7,0.0,0.0003017889684997499
8,0.0,0.0006469562067650259
9,0.0,0.05933838337659836
10,0.0,0.08903477340936661
11,0.0,0.09965986013412476
12,0.0,2.357250741624739e-05
13,0.0,0.09746333956718445
14,0.0,0.6274629235267639
15,0.0,0.07548057287931442
16,0.0,0.07881432771682739
17,0.0,0.05981675907969475
18,0.0,0.05480169132351875
19,0.0,0.11823086440563202
20,0.0,0.06171907112002373
21,0.0,0.05684912949800491
22,0.0,0.059238843619823456
23,0.0,0.49125829339027405
24,0.0,0.3232421576976776
25,0.0,0.24362245202064514
26,0.0,0.6370388269424438
27,0.0,0.10010398924350739
28,0.0,0.34031760692596436
29,0.0,0.09610883891582489
30,0.0,0.3812902569770813
31,0.0,0.5699621438980103
32,0.0,0.31166356801986694
33,0.06999268382787704,0.20170024037361145
34,0.04803056642413139,0.2783490717411041
35,0.0,2.0251409438287737e-08
36,0.06999965012073517,0.2894287705421448
37,0.0,0.09054704010486603
38,0.006999999284744263,0.70268714427948
39,0.0,0.39600738883018494
40,0.0,0.6678965091705322
41,0.05599992722272873,0.29451167583465576
42,0.0,0.2175658494234085
43,0.0,0.0011721847113221884
44,0.0,0.14635519683361053
45,0.0020101971458643675,0.596771240234375
46,0.0,0.6884115934371948
47,0.0,0.2259645015001297
48,0.0,0.11750616878271103
49,0.0,0.06656336039304733
50,0.06999967992305756,0.2893877625465393
51,0.06999988108873367,0.330657035112381
52,0.05101017281413078,0.17586185038089752
53,0.06299979984760284,0.24129042029380798
54,0.0,0.1686171591281891
55,0.06991089135408401,0.14810149371623993
56,0.0,0.23502855002880096
57,0.06999992579221725,0.313785582780838
58,0.0699993148446083,0.07662893831729889
59,0.0,0.11789251863956451
60,0.0,0.2238897830247879
61,0.0,0.3886213004589081
62,0.0,0.5250138640403748
63,0.06999891251325607,0.11178778111934662
64,0.06999970972537994,0.2613357603549957
65,0.0,0.13016244769096375
66,0.008040782064199448,0.5297845602035522
67,0.06999784708023071,0.08426767587661743
68,0.06501004844903946,0.3175152540206909
69,0.0,0.11714539676904678
70,0.0,4.178394374321215e-05
